               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.024972,            0.018904,                   0,             0.95845,             0.95156,              0.9819,             0.67989,            0.024343,            0.014161,                   0,           0.0064125,           0.0064125,           0.0064125
                  89,            0.024931,            0.018907,                   0,             0.95797,             0.95236,             0.98165,             0.67986,            0.024347,            0.014168,                   0,           0.0063432,           0.0063432,           0.0063432
                  90,            0.024854,            0.018607,                   0,             0.95579,              0.9558,             0.98196,             0.67988,            0.024323,            0.014174,                   0,           0.0062737,           0.0062737,           0.0062737
                  91,            0.024772,            0.018749,                   0,             0.95578,             0.95671,             0.98202,             0.68095,            0.024282,            0.014178,                   0,            0.006204,            0.006204,            0.006204
                  92,            0.024746,            0.018692,                   0,             0.95584,              0.9567,              0.9821,             0.68005,            0.024259,            0.014183,                   0,           0.0061341,           0.0061341,           0.0061341
                  93,            0.024946,            0.018645,                   0,             0.95556,               0.957,             0.98211,             0.68109,            0.024225,            0.014177,                   0,            0.006064,            0.006064,            0.006064
                  94,            0.024778,            0.018558,                   0,             0.95469,             0.95792,             0.98196,             0.68122,            0.024212,            0.014177,                   0,           0.0059938,           0.0059938,           0.0059938
                  95,             0.02487,            0.018484,                   0,             0.95409,             0.95822,             0.98192,             0.68112,            0.024185,            0.014185,                   0,           0.0059235,           0.0059235,           0.0059235
                  96,            0.024475,            0.018451,                   0,             0.95363,             0.95913,             0.98194,             0.68038,            0.024176,             0.01419,                   0,           0.0058531,           0.0058531,           0.0058531
                  97,            0.024486,            0.018504,                   0,             0.95362,             0.95883,             0.98167,             0.68021,            0.024173,            0.014193,                   0,           0.0057826,           0.0057826,           0.0057826
                  98,            0.024486,            0.018527,                   0,             0.95425,             0.95883,              0.9825,             0.68043,            0.024177,            0.014198,                   0,            0.005712,            0.005712,            0.005712
                  99,            0.024515,            0.018624,                   0,             0.95363,             0.95973,              0.9818,              0.6812,            0.024188,            0.014206,                   0,           0.0056413,           0.0056413,           0.0056413
                 100,            0.024448,            0.018419,                   0,             0.95471,             0.95731,             0.98192,             0.68153,            0.024197,            0.014214,                   0,           0.0055707,           0.0055707,           0.0055707
                 101,            0.024332,            0.018419,                   0,             0.95464,             0.95731,             0.98242,             0.68178,            0.024202,            0.014219,                   0,              0.0055,              0.0055,              0.0055
                 102,            0.024159,            0.018388,                   0,             0.95658,             0.95489,              0.9824,             0.68152,            0.024215,            0.014222,                   0,           0.0054293,           0.0054293,           0.0054293
                 103,            0.024162,            0.018302,                   0,             0.95945,             0.95271,             0.98204,             0.68158,            0.024227,            0.014223,                   0,           0.0053587,           0.0053587,           0.0053587
